Serial No., Control Objective, Compliance Status
1,Ensure 'Account lockout duration' is set to '15 or more minute(s)',Compliant
2,Ensure 'Allow Administrator account lockout' is set to 'Enabled',Compliant
3,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)',Compliant
4,Ensure 'Minimum password age' is set to '1 or more day',Compliant
5,Ensure 'Password must meet complexity requirements' is set to 'Enabled',Compliant
6,Ensure 'Store passwords using reversible encryption' is set to 'Disabled',Compliant
7,Ensure 'Audit Credential Validation' is set to 'Success and Failure',Compliant
8,Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure',Compliant
9,Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure',Compliant
10,Ensure 'Audit Computer Account Management' is set to include 'Success',Compliant
11,Ensure 'Audit Distribution Group Management' is set to include 'Success',Compliant
12,Ensure 'Audit Other Account Management Events' is set to include 'Success',Compliant
13,Ensure 'Audit Security Group Management' is set to include 'Success',Compliant
14,Ensure 'Audit User Account Management' is set to 'Success and Failure',Compliant
15,Ensure 'Audit PNP Activity' is set to include 'Success' (Automated),Compliant
16,Ensure 'Audit Process Creation' is set to include 'Success' (Automated),Compliant
17,Ensure 'Audit Directory Service Access' is set to include 'Failure',Compliant
18,Ensure 'Audit Directory Service Changes' is set to include 'Success',Compliant
19,Ensure 'Audit Account Lockout' is set to include 'Failure',Compliant
20,Ensure 'Audit Group Membership' is set to include 'Success',Compliant
21,Ensure 'Audit Logoff' is set to include 'Success',Compliant
22,Ensure 'Audit Logon' is set to 'Success and Failure',Compliant
23,Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure',Compliant
24,Ensure 'Audit Special Logon' is set to include 'Success',Compliant
25,Ensure 'Audit Detailed File Share' is set to include 'Failure',Compliant
26,Ensure 'Audit File Share' is set to 'Success and Failure',Compliant
27,Ensure 'Audit Other Object Access Events' is set to 'Success and Failure',Compliant
28,Ensure 'Audit Removable Storage' is set to 'Success and Failure',Compliant
29,Ensure 'Audit Policy Change' is set to include 'Success',Compliant
30,Ensure 'Audit Authentication Policy Change' is set to include 'Success',Compliant
31,Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure',Compliant
32,Ensure 'Audit Other Policy Change Events' is set to include 'Failure',Compliant
33,Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure',Compliant
34,Ensure 'Audit IPsec Driver' is set to 'Success and Failure',Compliant
35,Ensure 'Audit Other System Events' is set to 'Success and Failure',Compliant
36,Ensure 'Audit Security State Change' is set to include 'Success',Compliant
37,Ensure 'Audit Security System Extension' is set to include 'Success',Compliant
38,Ensure 'Audit System Integrity' is set to 'Success and Failure',Compliant
39,Ensure 'Do not display the password reveal button' is set to 'Enabled',Compliant
40,Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled',Compliant
41,Ensure 'Minimize the number of simultaneous connections to the Internet' (Automated),Compliant
42,Ensure 'Include command line in process creation events' is set to 'Enabled' (Automated),Compliant
43,Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good unknown and bad but critical' (Automated),Compliant
44,Ensure 'Configure registry policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE' (Automated),Compliant
45,Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated),Compliant
46,Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled' (Automated),Compliant
47,Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE' (Automated),Compliant
48,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated),Compliant
49,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated),Compliant
50,Ensure 'Accounts: Guest account status' is set to 'Disabled',Compliant
51,Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts' (Automated),Compliant
52,Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),Compliant
53,Configure 'Accounts: Rename guest account' (Automated),Compliant
54,Configure 'Accounts: Rename administrator account',Compliant
55,Ensure 'Audit: Force audit policy subcategory settings to override audit policy category settings' is set to 'Enabled',Compliant
